"id","list","added_date","added_by","threat_type","notes"
1,"101nitro.com
1111sale.us
15dfjkbvdf.club
17ebook.com
1month-premium.com
1nitro.club
1ownandfresh1.com
1payxperxinst1.com
1redirb.com
1ts11.top
1tvv.ru
1wat.ru
2012-drakon.ru
2012-god.ru
2015-god-kozy.ru
94,adpopblocker.com,"2025-05-23 15:57:04",system,malicious,
95,adsbtc.org,"2025-05-23 15:57:04",system,malicious,
96,adserveryo.xyz,"2025-05-23 15:57:04",system,malicious,
97,adserveryo2.xyz,"2025-05-23 15:57:04",system,malicious,
98,adtr1.com,"2025-05-23 15:57:04",system,malicious,
99,adulttdates.com,"2025-05-23 15:57:04",system,malicious,
100,adultxxxblog11.in,"2025-05-23 15:57:04",system,malicious,
101,adverdirect.com,"2025-05-23 15:57:04",system,malicious,
102,aff2021.com,"2025-05-23 15:57:04",system,malicious,
103,affix-cup.click,"2025-05-23 15:57:04",system,malicious,
104,affix-cup.link,"2025-05-23 15:57:04",system,malicious,
105,airdrop-discord.com,"2025-05-23 15:57:04",system,malicious,
106,airdrop-discord.online,"2025-05-23 15:57:04",system,malicious,
107,airdrop-discord.ru,"2025-05-23 15:57:04",system,malicious,
108,airdrop-nitro.com,"2025-05-23 15:57:04",system,malicious,
109,ajianseo.com,"2025-05-23 15:57:04",system,malicious,
110,akatori.fun,"2025-05-23 15:57:04",system,malicious,
111,akatorii.repl.co,"2025-05-23 15:57:04",system,malicious,
112,aladel.net,"2025-05-23 15:57:04",system,malicious,
113,alex-nv.ru,"2025-05-23 15:57:04",system,malicious,
114,alexandrkost.ru,"2025-05-23 15:57:04",system,malicious,
115,alexandrnav.ru,"2025-05-23 15:57:04",system,malicious,
116,alexandrs1.ru,"2025-05-23 15:57:04",system,malicious,
117,alexs1.ru,"2025-05-23 15:57:04",system,malicious,
118,alfaiztech.com,"2025-05-23 15:57:04",system,malicious,
119,all-nitro.xyz,"2025-05-23 15:57:04",system,malicious,
120,allhugenewz.com,"2025-05-23 15:57:04",system,malicious,
121,allin1-digitalcontent.net,"2025-05-23 15:57:04",system,malicious,
122,allthetraffic.co.cc,"2025-05-23 15:57:04",system,malicious,
123,alm-gaming.com,"2025-05-23 15:57:04",system,malicious,
124,aloha-news.net,"2025-05-23 15:57:04",system,malicious,
125,alterprogs.ru,"2025-05-23 15:57:04",system,malicious,
126,altervista.org,"2025-05-23 15:57:04",system,malicious,
127,amanda.ttnrd.com,"2025-05-23 15:57:04",system,malicious,
128,amata-syb.com,"2025-05-23 15:57:04",system,malicious,
129,amazing-date4u.com,"2025-05-23 15:57:04",system,malicious,
130,amazingsexdating.com,"2025-05-23 15:57:04",system,malicious,
131,amecbs.com,"2025-05-23 15:57:04",system,malicious,
132,amigosdetuciudad.com,"2025-05-23 15:57:04",system,malicious,
133,amurutro.ru,"2025-05-23 15:57:04",system,malicious,
134,angryisland.cf,"2025-05-23 15:57:04",system,malicious,
135,aniljv82.in,"2025-05-23 15:57:04",system,malicious,
136,annintus.com,"2025-05-23 15:57:04",system,malicious,
137,announcing-examacademy.com,"2025-05-23 15:57:04",system,malicious,
138,announcing-recruitmentacademy.com,"2025-05-23 15:57:04",system,malicious,
139,anti-virus-best.com,"2025-05-23 15:57:04",system,malicious,
140,antibot.cc,"2025-05-23 15:57:04",system,malicious,
141,antig-hra.com,"2025-05-23 15:57:04",system,malicious,
142,antispyware.com,"2025-05-23 15:57:04",system,malicious,
